mean_squared_error,mean_absolute_error,r2_score,task,library,accuracy,precision,recall,f1_score
1254631350.532487,20582.197243174774,0.8364305088962768,house,price_pytorch,,,,
2641205374.2319245,20236.406098241932,0.655659315798446,house,price_sklearn,,,,
4461251072.0,52734.18359375,0.41837531328201294,house,price_tensorflow,,,,
0.0,0.0,0.0,iris,pytorch,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666
0.0,0.0,0.0,iris,sklearn,1.0,1.0,1.0,1.0
0.0,0.0,0.0,iris,tensorflow,0.9333333333333333,0.9435897435897436,0.9333333333333333,0.9319444444444444
0.0,0.0,0.0,titanic,pytorch,0.6145251396648045,1.0,0.06756756756756757,0.12658227848101267
0.0,0.0,0.0,titanic,sklearn,0.8044692737430168,0.7746478873239436,0.7432432432432432,0.7586206896551724
0.0,0.0,0.0,titanic,tensorflow,0.7877094972067039,0.7647058823529411,0.7027027027027027,0.7323943661971831
